"label","token"
"B-ANAT-DP","pleural"
"B-OBS-U","thickening"
"O","or"
"B-OBS-DP","small"
"B-ANAT-DP","pleural"
"B-OBS-U","effusions"
"O","."
"O","there"
"O","is"
"O","a"
"B-OBS-DP","linear"
"B-OBS-DP","lucency"
"O","noted"
"O","in"
"O","the"
"B-ANAT-DP","ninth"
"B-ANAT-DP","posterior"
"B-ANAT-DP","right"
"B-ANAT-DP","rib"
"O","which"
"O","may"
"O","be"
"O","related"
"O","to"
"O","an"
"B-OBS-DP","displaced"
"B-OBS-DP","fracture"
"O","."
"O","impression"
"O",":"
"O","1"
"O","."
"B-OBS-DP","minimal"
"B-OBS-DP","lucency"
"O","in"
"O","the"
"B-ANAT-DP","posterior"
"B-ANAT-DP","right"
"B-ANAT-DP","ninth"
"B-ANAT-DP","rib"
"O","ab"
"O","related"
"O","to"
"O","a"
"B-ANAT-DP","rib"
"B-OBS-DP","fracture"
"O","."
"O","recommend"
"O","correlation"
"O","with"
"O","clinical"
"O","exam"
"O","."
"O","2"
"O","."
"B-ANAT-DP","bibasilar"
"B-OBS-DP","atelectasis"
"O","."
"O","3"
"O","."
"B-OBS-DP","blunting"
"O","of"
"B-ANAT-DP","bilateral"
"B-ANAT-DP","costophrenic"
"B-ANAT-DP","sulci"
"O","may"
"O","be"
"O","related"
"O","to"
"B-OBS-DP","small"
"B-ANAT-DP","pleural"
"B-OBS-U","effusions"
"O","versus"
"B-ANAT-DP","pleural"
"B-OBS-U","thickening"
"O","."
"O","""physician"
"O","to"
"O","physician"
"O","radiology"
"O","consult"
"O","line"
"O",":"
"O","("
"O","904"
"O",")"
"O","722-6008"""
"O","accession"
"O","number"
"O",":"
"O","0407695666"
"O","this"
"O","report"
"O","has"
"O","been"
"O","anonymized"
"O","."
"O","all"
"O","dates"
"O","are"
"O","offset"
"O","from"
"O","the"
"O","actual"
"O","dates"
"O","by"
"O","a"
"O","fixed"
"O","interval"
"O","associated"
"O","with"
"O","the"
"O","patient"
"O","."
"O","narrative"
"O",":"
"O","chest"
"O",","
"O","one"
"O","view"
"O",","
"O","portable"
"O",":"
"O","10"
"O","/"
"O","31"
"O","/"
"O","06"
"O","clinical"
"O","history"
"O",":"
"O","this"
"O","is"
"O","a"
"O","33-year-old"
"O","female"
"O","status"
"O","post"
"O","thoracotomy"
"O","."
"O","comparison"
"O",":"
"O","10"
"O","/"
"O","30"
"O","/"
"O","06"
"O","technique"
"O",":"
"O","portable"
"O","ap"
"O","semierect"
"O","views"
"O","of"
"O","the"
"O","chest"
"O","."
"O","findings"
"O","/"
"O","impression"
"O",":"
"O","1"
"O","."
"O","a"
"O","previously"
"O","noted"
"O","right-sided"
"B-OBS-DP","pneumothorax"
"O","has"
"B-OBS-DP","decreased"
"O","with"
"O","a"
"B-OBS-DP","small"
"B-OBS-DP","amount"
"O","of"
"B-OBS-DP","air"
"O","seen"
"O","within"
"O","the"
"B-ANAT-DP","right"
"B-ANAT-DP","hemithorax"
"O","."
"O","otherwise"
"O",","
"O","the"
"B-ANAT-DP","right"
"B-ANAT-DP","mid"
"O","to"
"B-ANAT-DP","lower"
"B-ANAT-DP","lung"
"B-ANAT-DP","zone"
"O","demonstrates"
"O","a"
"B-OBS-DP","new"
"B-OBS-DP","opacity"
"O","which"
"O","could"
"O","represent"
"B-OBS-U","atelectasis"
"O",","
"O","though"
"B-OBS-U","early"
"B-OBS-U","infiltrate"
"O","cannot"
"O","be"
"O","completely"
"O","excluded"
"O","."
"O","2"
"O","."
"O","the"
"B-ANAT-DP","left"
"B-ANAT-DP","lung"
"O","is"
"B-OBS-DP","otherwise"
"B-OBS-DP","unremarkable"
"O","."
"O","3"
"O","."
"O","redemonstration"
"O","of"
"B-ANAT-DP","subcutaneously"
"B-OBS-DP","emphysema"
"O","of"
"O","the"
"B-ANAT-DP","right"
"B-ANAT-DP","chest"
"B-ANAT-DP","wall"
"O","."
"O","summary"
"O",":"
"O","2-abnormal"
"O",","
"O","previously"
"O","reported"
"O","."
"O","i"
"O","have"
"O","personally"
"O","reviewed"
"O","the"
"O","images"
"O","for"
"O","this"
"O","examination"
"O","and"
"O","agreed"
"O","with"
"O","the"
"O","report"
"O","transcribed"
"O","above"
"O","."
"O","accession"
"O","number"
"O",":"
"O","940684656"
"O","this"
"O","report"
"O","has"
"O","been"
"O","anonymized"
"O","."
"O","all"
"O","dates"
"O","are"
"O","offset"
"O","from"
"O","the"
"O","actual"
"O","dates"
"O","by"
"O","a"
"O","fixed"
"O","interval"
"O","associated"
"O","with"
"O","the"
"O","patient"
"O","."
"O","narrative"
"O",":"
"O","exam"
"O",":"
"O","chest"
"O","1"
"O","view"
"O",","
"O","2012"
"O","/"
"O","11"
"O","/"
"O","25"
"O","clinical"
"O","history"
"O",":"
"O","36"
"O","years"
"O","female"
"O","line"
"O","placement"
"O","comparison"
"O",":"
"O","none"
"O","findings"
"O",":"
"B-ANAT-DP","left"
"B-ANAT-DP","subclavian"
"B-OBS-DP","line"
"B-OBS-DP","tip"
"O","in"
"B-ANAT-DP","svc"
"O","."
"O","no"
"O","associated"
"B-OBS-DA","pneumothorax"
"O","."
"O","no"
"B-ANAT-DP","volumes"
"O","."
"B-OBS-DP","increased"
"O",","
"B-OBS-DP","predominantly"
"B-OBS-DP","linear"
"B-OBS-DP","opacities"
"O","in"
"B-ANAT-DP","bilateral"
"B-ANAT-DP","bases"
"O","."
"O","no"
"B-OBS-DA","effusions"
"O","."
"B-ANAT-DP","bony"
"B-ANAT-DP","structures"
"B-OBS-DP","grossly"
"B-OBS-DP","unremarkable"
"O","."
"O","impression"
"O",":"
"O","1"
"O","."
"B-ANAT-DP","left"
"B-ANAT-DP","subclavian"
"B-OBS-DP","line"
"O","in"
"B-ANAT-DP","svc"
"O","without"
"O","associated"
"B-OBS-DA","pneumothorax"
"O","."
"O","2"
"O","."
"B-OBS-DP","low"
"B-ANAT-DP","volumes"
"O","with"
"B-OBS-DP","increased"
"B-OBS-DP","linear"
"B-OBS-DP","opacities"
"O","in"
"B-ANAT-DP","bilateral"
"B-ANAT-DP","bases"
"O","which"
"O","may"
"O","represent"
"B-OBS-U","atelectasis"
"O","."
"O","recommend"
"O","clinical"
"O","correlation"
"O","."
"O","summary"
"O",":"
"O","4-possibly"
"O","significant"
"O","finding"
"O",","
"O","may"
"O","need"
"O","action"
"O","accession"
"O","9999552"
"O","this"
"O","report"
"O","has"
"O","been"
"O","anonymized"
"O","."
"O","all"
"O","dates"
"O","are"
"O","offset"
"O","from"
"O","the"
"O","actual"
"O","dates"
"O","by"
"O","a"
"O","fixed"
"O","interval"
"O","associated"
"O","with"
"O","the"
"O","patient"
"O","."
"O","narrative"
"O",":"
"O","exam"
"O",":"
"O","chest"
"O","1"
"O","view"
"O",","
"O","06"
"O","/"
"O","01"
"O","/"
"O","01"
"O","clinical"
"O","history"
"O",":"
"O","59-year-old"
"O","female"
"O","pleural"
"O","effusion"
"O","comparison"
"O",":"
"O","12"
"O","/"
"O","01"
"O","/"
"O","2005"
"O","impression"
"O",":"
"O","1"
"O","."
"O","interval"
"O","removal"
"O","of"
"O","the"
"B-ANAT-DP","right"
"B-ANAT-DP","arm"
"B-OBS-DA","picc"
"B-OBS-DA","line"
"O","and"
"B-ANAT-DP","left"
"B-ANAT-DP","thoracic"
"B-OBS-DP","pigtail"
"B-OBS-DA","catheter"
"O","."
"O","no"
"B-OBS-DA","change"
"O","in"
"O","the"
"B-OBS-DP","position"
"O","of"
"O","the"
"B-OBS-DP","pigtail"
"B-OBS-DP","catheter"
"O","projecting"
"O","over"
"O","the"
"B-ANAT-DP","lower"
"B-ANAT-DP","right"
"B-ANAT-DP","hemithorax"
"O","or"
"B-OBS-DA","sternotomy"
"B-OBS-DA","wires"
"O","."
"O","2"
"O","."
"B-OBS-DP","interval"
"B-OBS-DP","increase"
"O","in"
"O","the"
"B-ANAT-DP","right"
"B-ANAT-DP","lower"
"B-ANAT-DP","lung"
"B-OBS-DP","opacity"
"B-OBS-DP","surrounding"
"O","the"
"B-ANAT-DP","right"
"B-OBS-DP","pigtail"
"B-OBS-DP","catheter"
"O","which"
"O","may"
"O","represent"
"B-ANAT-DP","pulmonary"
"B-OBS-U","contusion"
"O","with"
"B-ANAT-DP","adjacent"
"B-ANAT-DP","pulmonary"
"B-OBS-U","effusion"
"O","."
"O","3"
"O","."
"B-OBS-DP","interval"
"B-OBS-DP","improvement"
"O","in"
"B-ANAT-DP","pulmonary"
"B-OBS-DP","edema"
"O","."
"O","summary"
"O",":"
"O","4-possibly"
"O","significant"
"O","finding"
"O",","
"O","may"
"O","need"
"O","action"
"O","i"
"O","have"
"O","personally"
"O","reviewed"
"O","the"
"O","images"
"O","for"
"O","this"
"O","examination"
"O","and"
"O","agreed"
"O","with"
"O","the"
"O","report"
"O","transcribed"
"O","above"
"O","."
"O","accession"
"O","number"
"O",":"
"O","54190914R"
"O","this"
"O","report"
"O","has"
"O","been"
"O","anonymized"
"O","."
"O","all"
"O","dates"
"O","are"
"O","offset"
"O","from"
"O","the"
"O","actual"
"O","dates"
"O","by"
"O","a"
"O","fixed"
"O","interval"
"O","associated"
"O","with"
"O","the"
"O","patient"
"O","."
"O","narrative"
"O",":"
"O","single"
"O","radiograph"
"O","of"
"O","the"
"O","chest"
"O",":"
"O","06"
"O","/"
"O","1998"
"O","clinical"
"O","history"
"O",":"
"O","48-year-old"
"O","woman"
"O","with"
"O","history"
"O","of"
"O","mitral"
"O","stenosis"
"O","and"
"O","tricuspid"
"O","regurgitation"
"O","."
"O","comparison"
"O",":"
"O","6"
"O","/"
"O","8"
"O","/"
"O","1998"
"O","."
"O","findings"
"O",":"
"O","the"
"O","2011"
"O","January"
"O","hours"
"O","radiograph"
"O","demonstrates"
"O","no"
"O","significant"
"O","interval"
"B-OBS-DA","change"
"O","in"
"O","the"
"O","chest"
"O","allowing"
"O","for"
"O","technique"
"O","."
"O","the"
"B-OBS-DP","lines"
"O","and"
"B-OBS-DP","tubes"
"O","are"
"B-OBS-DP","stable"
"O","."
"B-OBS-DP","enlarged"
"B-ANAT-DP","cardiomediastinal"
"B-ANAT-DP","silhouette"
"O","and"
"B-OBS-DP","moderate"
"B-ANAT-DP","pulmonary"
"B-OBS-DP","edema"
"O","are"
"B-OBS-DP","unchanged"
"O","with"
"B-OBS-DP","patchy"
"B-ANAT-DP","right"
"B-ANAT-DP","lower"
"B-ANAT-DP","lobe"
"B-OBS-DP","consolidation"
"O","versus"
"B-OBS-DP","atelectasis"
"O","."
"O","the"
"O","2310"
"O","hours"
"O","examination"
"O","demonstrates"
"B-OBS-DP","stable"
"B-OBS-DP","position"
"O","of"
"B-OBS-DP","lines"
"O","and"
"B-OBS-DP","tubes"
"O","."
"O","again"
"O","seen"
"O","are"
"B-ANAT-DP","tricuspid"
"O","and"
"B-ANAT-DP","mitral"
"B-ANAT-DP","annular"
"B-OBS-DP","rings"
"O","."
"O","the"
"B-ANAT-DP","right"
"B-ANAT-DP","basilar"
"B-OBS-DP","consolidation"
"O","versus"
"B-OBS-DP","atelectasis"
"O","demonstrates"
"B-OBS-DP","mild"
"B-OBS-DP","interval"
"B-OBS-DP","increase"
"O","in"
"B-OBS-DP","density"
"O","."
"B-OBS-DP","stable"
"B-OBS-DP","marked"
"B-OBS-DP","cardiomegaly"
"O","."
"O","impression"
"O",":"
"B-OBS-DP","mild"
"B-OBS-DP","increase"
"O","in"
"B-ANAT-DP","right"
"B-ANAT-DP","basilar"
"B-OBS-DP","consolidation"
"O","versus"
"B-OBS-DP","atelectasis"
"O","."
"O","the"
"B-ANAT-DP","remainder"
"O","of"
"O","the"
"B-ANAT-DP","chest"
"O","is"
"O","not"
"O","significantly"
"B-OBS-DA","changed"
"O","."
"O","end"
"O","of"
"O","impression"
"O","summary"
"O",":"
"O","4-possible"
"O","significant"
"O","findings"
"O",","
"O","may"
"O","need"
"O","action"
"O","i"
"O","have"
"O","personally"
"O","reviewed"
"O","the"
"O","images"
"O","for"
"O","this"
"O","examination"
"O","and"
"O","agree"
"O","with"
"O","the"
"O","report"
"O","transcribed"
"O","above"
"O","."
"O","by"
"O",":"
"O","Lila"
"O","Mcgrath"
"O",","
"O","PA-C"
"O","on"
"O",":"
"O","98"
"O","June"
"O","11"
"O","accession"
"O","number"
"O",":"
"O","705567719007"
"O","this"
"O","report"
"O","has"
"O","been"
"O","anonymized"
"O","."
"O","all"
"O","dates"
"O","are"
"O","offset"
"O","from"
"O","the"
"O","actual"
"O","dates"
"O","by"
"O","a"
"O","fixed"
"O","interval"
"O","associated"
"O","with"
"O","the"
"O","patient"
"O","."
"O","narrative"
"O",":"
"O","radiographic"
"O","examination"
"O","of"
"O","the"
"O","chest"
"O",":"
"O","03"
"O","/"
"O","09"
"O","/"
"O","2018"
"O","clinical"
"O","history"
"O",":"
"O","34-year-old"
"O","male"
"O","with"
"O","shortness"
"O","of"
"O","breath"
"O","."
"O","comparison"
"O",":"
"O","14"
"O","September"
"O","17"
"O","procedure"
"O","comments"
"O",":"
"O","two"
"O","views"
"O","of"
"O","the"
"O","chest"
"O","."
"O","findings"
"O",":"
"O","the"
"B-ANAT-DP","cardiomediastinal"
"B-ANAT-DP","silhouette"
"O","is"
"B-OBS-DP","normal"
"O","."
"O","there"
"O","is"
"O","a"
"B-OBS-DP","focal"
"B-ANAT-DP","airspace"
"B-OBS-DP","opacity"
"O","in"
"O","the"
"B-ANAT-DP","lingula"
"O","."
"O","there"
"O","are"
"O","no"
"B-ANAT-DP","pleural"
"B-OBS-DA","effusions"
"O","."
"B-OBS-DP","mild"
"B-OBS-DP","linear"
"B-OBS-DP","opacities"
"O","in"
"O","the"
"B-ANAT-DP","right"
"B-ANAT-DP","lower"
"B-ANAT-DP","lung"
"O","may"
"O","reflect"
"B-OBS-U","atelectasis"
"O","."
"O","no"
"B-OBS-DA","acute"
"B-ANAT-DP","bony"
"B-OBS-DA","abnormalities"
"O","."
"O","impression"
"O",":"
"O","1"
"O","."
"B-ANAT-DP","lingular"
"B-OBS-DP","consolidation"
"O","compatible"
"O","with"
"B-OBS-DP","pneumonia"
"O","."
"O","physician"
"O","to"
"O","physician"
"O","radiology"
"O","consult"
"O","line"
"O",":"
"O","("
"O","572"
"O",")"
"O","857-2395"
"O","i"
"O","have"
"O","personally"
"O","reviewed"
"O","the"
"O","images"
"O","for"
"O","this"
"O","examination"
"O","and"
"O","agreed"
"O","with"
"O","the"
"O","report"
"O","transcribed"
"O","above"
"O","."
"O","accession"
"O","number"
"O",":"
"O","9986-1328"
"O","this"
"O","report"
"O","has"
"O","been"
"O","anonymized"
"O","."
"O","all"
"O","dates"
"O","are"
"O","offset"
"O","from"
"O","the"
"O","actual"
"O","dates"
"O","by"
"O","a"
"O","fixed"
"O","interval"
"O","associated"
"O","with"
"O","the"
"O","patient"
"O","."
"O","narrative"
"O",":"
"O","chest"
"O","1"
"O","view"
"O",","
"O","October"
"O","21"
"O","history"
"O",":"
"O","63"
"O","years"
"O","male"
"O",","
"O","increased"
"O","work"
"O","of"
"O","breathing"
"O","comparison"
"O",":"
"O","10"
"O","/"
"O","21"
"O","/"
"O","09"
"O","impression"
"O",":"
"O","1"
"O","."
"B-OBS-DP","tubes"
"O",","
"B-OBS-DP","lines"
"O","and"
"B-OBS-DP","surgical"
"B-OBS-DP","material"
"O","are"
"B-OBS-DP","stable"
"O","."
"O","2"
"O","."
"O","persistent"
"B-ANAT-DP","retrocardiac"
"B-OBS-DP","opacity"
"O","and"
"B-ANAT-DP","left"
"B-ANAT-DP","pleural"
"B-OBS-DP","effusion"
"O","."
"O","summary"
"O",":"
"O","2-abnormal"
"O",","
"O","previously"
"O","reported"
"O","i"
"O","have"
"O","personally"
"O","reviewed"
"O","the"
"O","images"
"O","for"
"O","this"
"O","examination"
"O","and"
"O","agreed"
"O","with"
"O","the"
"O","report"
"O","transcribed"
"O","above"
"O","."
"O","accession"
"O","number"
"O",":"
"O","FovUJJYlqgUB"
"O","this"
"O","report"
"O","has"
"O","been"
"O","anonymized"
"O","."
"O","all"
"O","dates"
"O","are"
"O","offset"
"O","from"
"O","the"
"O","actual"
"O","dates"
"O","by"
"O","a"
"B-OBS-DP","fixed"
"O","interval"
"O","associated"
"O","with"
"O","the"
"O","patient"
"O","."
"O","narrative"
"O",":"
"O","single"
"O","portable"
"O","upright"
"O","view"
"O","of"
"O","the"
"O","chest"
"O",":"
"O","July"
"O","2024"
"O","comparison"
"O",":"
"O","none"
"O","."
"O","findings"
"O",":"
"O","single"
"O","portable"
"O","upright"
"O","view"
"O","of"
"O","the"
"O","chest"
"O","demonstrates"
"B-OBS-DP","low"
"B-ANAT-DP","lung"
"B-ANAT-DP","volumes"
"O","with"
"B-OBS-DP","prominence"
"O","of"
"O","the"
"B-ANAT-DP","interstitial"
"B-ANAT-DP","lung"
"B-OBS-DP","markings"
"O","."
"O","there"
"O","is"
"O","an"
"O","ill-defined"
"B-ANAT-DP","retrocardiac"
"B-ANAT-DP","airspace"
"B-OBS-DP","opacity"
"O","."
"B-OBS-DP","moderate"
"B-OBS-DP","degree"
"O","of"
"B-OBS-DP","atherosclerotic"
"B-OBS-DP","disease"
"O","is"
"O","noted"
"O","in"
"O","the"
"B-ANAT-DP","thoracic"
"B-ANAT-DP","arch"
"O","."
"B-OBS-DP","multiple"
"B-OBS-DP","degenerative"
"B-OBS-DP","changes"
"O","in"
"O","the"
"B-ANAT-DP","spine"
"O","."
"O","the"
"B-ANAT-DP","upper"
"B-ANAT-DP","trachea"
"O","is"
"B-OBS-DP","irregular"
"O","in"
"B-OBS-DP","contour"
"O",","
"B-OBS-DP","mildly"
"B-OBS-DP","narrowed"
"O",","
"O","and"
"B-OBS-DP","deviated"
"O","to"
"O","the"
"B-ANAT-DP","left"
"O","."
"O","though"
"O","this"
"O","appearance"
"O","may"
"O","be"
"O","due"
"O","in"
"O","part"
"O","to"
"B-OBS-U","rotation"
"O",","
"O","an"
"B-OBS-U","underlying"
"B-OBS-U","mass"
"O","cannot"
"O","be"
"O","excluded"
"O","."
"O","impression"
"O",":"
"O","1"
"O","."
"B-OBS-DP","low"
"B-ANAT-DP","lung"
"B-ANAT-DP","volumes"
"O","with"
"B-OBS-DP","prominence"
"O","of"
"O","the"
"B-ANAT-DP","interstitial"
"B-ANAT-DP","lung"
"B-OBS-DP","markings"
"O","suggestive"
"O","of"
"B-OBS-DP","mild"
"B-ANAT-DP","interstitial"
"B-ANAT-DP","pulmonary"
"B-OBS-DP","edema"
"O","."
"O","2"
"O","."
"O","ill-defined"
"B-ANAT-DP","retrocardiac"
"B-ANAT-DP","airspace"
"B-OBS-DP","opacity"
"O",","
"O","recommend"
"O","lateral"
"O","views"
"O","if"
"O","clinically"
"O","warranted"
"O","."
"O","3"
"O","."
"B-OBS-DP","leftward"
"B-OBS-DP","deviation"
"O","and"
"B-OBS-DP","narrowing"
"O","of"
"O","the"
"B-ANAT-DP","upper"
"B-ANAT-DP","trachea"
"O","."
"O","though"
"O","this"
"O","may"
"O","be"
"O","due"
"O","in"
"O","part"
"O","to"
"B-OBS-U","rotation"
"O",","
"O","an"
"B-OBS-U","underlying"
"B-OBS-U","mass"
"B-OBS-U","lesion"
"O","cannot"
"O","be"
"O","excluded"
"O","."
"O","recommend"
"O","clinical"
"O","correlation"
"O","and"
"O","further"
"O","evaluation"
"O","with"
"O","cross-sectional"
"O","imaging"
"O","as"
"O","clinically"
"O","warranted"
"O","."
"O","4"
"O","."
"O","the"
"O","findings"
"O","of"
"O","this"
"O","examination"
"O","and"
"O","recommendations"
"O","were"
"O","discussed"
"O","with"
"O","Schuster"
"O",","
"O","Dr"
"O","on"
"O","the"
"O","evening"
"O","of"
"O","07"
"O","/"
"O","14"
"O","/"
"O","2024"
"O","at"
"O","2130"
"O","hours"
"O","."
"O","summary"
"O",":"
"O","4-possible"
"O","significant"
"O","findings"
"O",","
"O","may"
"O","need"
"O","action"
"O","accession"
"O","number"
"O",":"
"O","fevvVbK"
"O","this"
"O","report"
"O","has"
"O","been"
"O","anonymized"
"O","."
"O","all"
"O","dates"
"O","are"
"O","offset"
"O","from"
"O","the"
"O","actual"
"O","dates"
"O","by"
"O","a"
"O","fixed"
"O","interval"
"O","associated"
"O","with"
"O","the"
"O","patient"
"O","."
"O","narrative"
"O",":"
"O","two"
"O","views"
"O","chest"
"O",":"
"O","2027"
"O","/"
"O","06"
"O","/"
"O","01"
"O","at"
"O","1508"
"O","hours"
"O","."
"O","comparison"
"O",":"
"O","05"
"O","/"
"O","31"
"O","/"
"O","2027"
"O","."
"O","clinical"
"O","data"
"O",":"
"O","a"
"O","61-year-old"
"O","female"
"O","status"
"O","post"
"O","single"
"O","lung"
"O","transplant"
"O","."
"O","impression"
"O",":"
"O","1"
"O","."
"O","pa"
"O","and"
"O","lateral"
"O","views"
"O","of"
"O","the"
"O","chest"
"O","dated"
"O","6"
"O","/"
"O","1"
"O","/"
"O","2027"
"O","at"
"O","1508"
"O","hours"
"O","demonstrates"
"B-OBS-DP","stable"
"O","left-sided"
"B-ANAT-DP","subcutaneous"
"B-OBS-DP","emphysema"
"O",","
"O","without"
"O","evidence"
"O","of"
"O","a"
"B-OBS-DA","clear"
"B-OBS-DA","pneumothorax"
"O","."
"O","the"
"B-ANAT-DP","left"
"B-ANAT-DP","lung"
"O","appears"
"B-OBS-DP","clear"
"O","."
"O","2"
"O","."
"B-OBS-DP","coarse"
"B-OBS-DP","reticular"
"B-OBS-DP","pattern"
"O","is"
"B-OBS-DP","stable"
"O","in"
"O","the"
"B-ANAT-DP","right"
"B-ANAT-DP","lung"
"O","."
"O","summary"
"O",":"
"O","2-abnormal"
"O",","
"O","previously"
"O","reported"
"O","i"
"O","have"
"O","personally"
"O","reviewed"
"O","the"
"O","images"
"O","for"
"O","this"
"O","examination"
"O","and"
"O","agreed"
"O","with"
"O","the"
"O","report"
"O","transcribed"
"O","above"
"O","."
"O","accession"
"O","number"
"O",":"
"O","iohegijcoamas"
"O","this"
"O","report"
"O","has"
"O","been"
"O","anonymized"
"O","."
"O","all"
"O","dates"
"O","are"
"O","offset"
"O","from"
"O","the"
"O","actual"
"O","dates"
"O","by"
"O","a"
"O","fixed"
"O","interval"
"O","associated"
"O","with"
"O","the"
"O","patient"
"O","."
"O","narrative"
"O",":"
"O","chest"
"O",":"
"O","12"
"O","/"
"O","8"
"O","/"
"O","26"
"O","."
"O","comparison"
"O",":"
"O","26"
"O","/"
"O","12"
"O","/"
"O","07"
"O","."
"O","clinical"
"O","history"
"O",":"
"O","53-year-old"
"O","male"
"O","with"
"O","pericardial"
"O","effusion"
"O","."
"O","impression"
"O",":"
"O","1"
"O","."
"O","there"
"O","has"
"O","been"
"B-OBS-DP","significant"
"B-OBS-DP","interval"
"B-OBS-DP","decrease"
"O","in"
"B-OBS-DP","cardiomegaly"
"O",","
"O","likely"
"O","related"
"O","to"
"B-OBS-DP","resolution"
"O","of"
"O","the"
"O","known"
"B-ANAT-DP","pericardial"
"B-OBS-DA","effusion"
"O","."
"O","the"
"B-ANAT-DP","heart"
"B-ANAT-DP","silhouette"
"O","is"
"O","now"
"B-OBS-DP","normal"
"O","."
"B-OBS-DP","mild"
"O","ill-defined"
"B-ANAT-DP","right"
"B-ANAT-DP","perihilar"
"B-OBS-DP","opacity"
"O",","
"O","likely"
"O","related"
"O","to"
"B-OBS-DP","residual"
"B-ANAT-DP","parenchymal"
"B-OBS-U","opacity"
"O","as"
"O","seen"
"O","on"
"O","the"
"O","ct"
"O","from"
"O","2026"
"O","/"
"O","09"
"O","/"
"O","27"
"O","."
"O","no"
"O","evidence"
"O","of"
"B-ANAT-DP","pulmonary"
"B-OBS-DA","edema"
"O","or"
"B-OBS-DA","pneumothorax"
"O","or"
"B-OBS-DA","pneumomediastinum"
"O","."
"O","end"
"O","of"
"O","impression"
"O",":"
"O","summary"
"O","2"
"O",":"
"B-OBS-DP","abnormal"
"O",","
"O","previously"
"O","reported"
"O","."
"O","i"
"O","have"
"O","personally"
"O","reviewed"
"O","the"
"O","images"
"O","for"
"O","this"
"O","examination"
"O","and"
"O","agree"
"O","with"
"O","the"
"O","report"
"O","transcribed"
"O","above"
"O","."
"O","by"
"O",":"
"O","Kirby"
"O",","
"O","Maeve"
"O","on"
"O",":"
"O","December"
"O","16th"
"O","accession"
"O","number"
"O",":"
"O","940684656"
"O","this"
"O","report"
"O","has"
"O","been"
"O","anonymized"
"O","."
"O","all"
"O","dates"
"O","are"
"O","offset"
"O","from"
"O","the"
"O","actual"
"O","dates"
"O","by"
"O","a"
"O","fixed"
"O","interval"
"O","associated"
"O","with"
"O","the"
"O","patient"
"O","."
"O","narrative"
"O",":"
"O","chest"
"O","1"
"O","view"
"O",","
"O","2006"
"O","/"
"O","03"
"O","/"
"O","12"
"O","history"
"O",":"
"O","63-year-old"
"O","male"
"O","icu"
"O","follow-up"
"O","."
"O","comparison"
"O",":"
"O","2006"
"O","December"
"O","2nd"
"O","impression"
"O",":"
"O","1"
"O","."
"O","semiupright"
"O","ap"
"O","chest"
"O","radiograph"
"O","demonstrates"
"O","interval"
"O","removal"
"O","of"
"O","the"
"O","more"
"B-OBS-DA","superior"
"O","of"
"B-ANAT-DP","two"
"B-ANAT-DP","left"
"I-ANAT-DP","sided"
"B-ANAT-DP","chest"
"B-OBS-DA","tubes"
"O","."
"O","the"
"B-OBS-DP","more"
"B-OBS-DP","inferior"
"B-ANAT-DP","chest"
"B-OBS-DP","tube"
"O","is"
"B-OBS-DP","stable"
"B-OBS-DP","in"
"I-OBS-DP","position"
"O","."
"B-OBS-DP","surgical"
"B-OBS-DP","staples"
"B-OBS-DP","overlie"
"O","the"
"B-ANAT-DP","left"
"B-ANAT-DP","lateral"
"B-ANAT-DP","chest"
"B-ANAT-DP","wall"
"O","."
"B-OBS-DP","stable"
"O","appearance"
"O","of"
"O","the"
"B-OBS-DP","endotracheal"
"B-OBS-DP","tube"
"O",","
"B-OBS-DP","nasogastric"
"B-OBS-DP","tube"
"O",","
"B-OBS-DP","feeding"
"B-OBS-DP","tube"
"O",","
"B-ANAT-DP","left"
"B-ANAT-DP","ijv"
"B-OBS-DP","catheter"
"O","and"
"B-OBS-DP","sheath"
"O",","
"O","and"
"B-ANAT-DP","sternal"
"B-OBS-DP","fixation"
"B-OBS-DP","hardware"
"O","."
"O","interval"
"O","removal"
"O","of"
"B-OBS-DA","pacer"
"B-OBS-DA","pad"
"O","."
"O","2"
"O","."
"O","redemonstrated"
"B-ANAT-DP","retrocardiac"
"B-OBS-DP","opacities"
"O",","
"O","likely"
"B-OBS-U","compressive"
"B-OBS-U","atelectasis"
"O","and"
"B-OBS-DP","stable"
"B-OBS-DP","aeration"
"O","of"
"O","the"
"B-ANAT-DP","left"
"B-ANAT-DP","upper"
"B-ANAT-DP","lobe"
"O","given"
"O","differences"
"O","in"
"O","technique"
"O","."
"O","3"
"O","."
"B-OBS-DP","mild"
"B-ANAT-DP","pulmonary"
"B-OBS-DP","edema"
"O","4"
"O","."
"B-OBS-DP","stable"
"B-OBS-DP","large"
"O","left-sided"
"B-ANAT-DP","pleural"
"B-OBS-DP","effusion"
"O","."
"O","5"
"O","."
"O","otherwise"
"O","no"
"O","significant"
"O","interval"
"B-OBS-DA","change"
"O","."
"O","summary"
"O",":"
"O","2-abnormal"
"O",","
"O","previously"
"O","reported"
"O","i"
"O","have"
"O","personally"
"O","reviewed"
"O","the"
"O","images"
"O","for"
"O","this"
"O","examination"
"O","and"
"O","agreed"
"O","with"
"O","the"
"O","report"
"O","transcribed"
"O","above"
"O","."
"O","accession"
"O","7568254739"
"O","this"
"O","report"
"O","has"
"O","been"
"O","anonymized"
"O","."
"O","all"
"O","dates"
"O","are"
"O","offset"
"O","from"
"O","the"
"O","actual"
